DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,"ESPARRAGAL, EL",,Explotación,J.M. ORIOL - ESPARRAGAL S.A.,M. CASTILLO Y L. SURROCA,,31-12-1970,01-01-1984,0224955,4160665,Riego                                             -  -,-  -,,"48,720","0,000","0,000","230,000",,Gravedad,"26,000","117,000","144,000","118,000","120,000","9,810",000,-,001,"203,000 -","No, Labio fijo -",,ENCARNACION,GERENA,GUADALQUIVIR
,ESTREMERA,,Explotación,ESTADO,B-JIMENEZ,B,01-01-1950,--,0499510,4450630,Riego                                             -  -,-  -,,"8000,000","505,000","424,000","361,000",,Contrafuertes,"13,000","90,000","569,000","556,000","559,500","12,000",001,"0,000 -",001,"2000,000 -","No, Labio fijo -",,TAJO,"DRIEBES, LEGANIEL",TAJO
,EXCUSABARAJAS,,Explotación,COMUNIDAD DE REGANTES DE EXCUSABARAJAS,M. CAMON,,01-03-1964,--,-751215,3148596,Riego                                             -  -,-  -,,"2,350","0,000","0,000","0,000",,Gravedad,"15,000","47,300","750,000","735,000","735,000","7,000",000,-,000,-,-,,EXCUSABARAJAS,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,FATAGA,,Explotación,CABILDO DE GRAN CANARIA,A-CAÑAS,,01-01-1973,--,-742743,3147931,Riego                                             -  -,-  -,,"7,126","0,000","0,000","0,000",,Gravedad,"56,000","129,000","485,000","429,000","441,000","50,600",000,-,001,"96,000 -","No, Labio fijo -",,BARRANCO FATAGA,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,FORATA,,Explotación,ESTADO,ANTONIO INGLES,A,01-01-1969,--,0684213,4356914,Riego                                             -  -,-  -,,"1058,000","28,600","550,000","900,000",,Gravedad,"68,400","225,000","389,200","320,800","327,800","165,000",002,"20,000 - 40,000",001,"900,000 -",Compuerta segm -,,MAGRO,YATOVA,JÚCAR
,GABRIEL Y GALAN,,Explotación,ESTADO,J. BONILLA,A,01-01-1961,--,0233284,4457169,Hidroeléctrico                                    -  - Riego,-  -,,"1850,000","1020,000","1000,000","3536,000",,Gravedad,"73,000","1020,000","388,000","315,000","321,000","587,790",001,"57,000 -",001,"2200,000 -",Compuertas. -,,ALAGON,GUIJO DE GRANADILLA,TAJO
,GAMBUESA,,Explotación,CABILDO DE GRAN CANARIA,A. CAÑAS,,01-01-1971,--,-746457,3146193,Riego                                             -  -,-  -,,"21,310","0,000","0,000","0,000",,Gravedad,"54,000","151,600","350,000","296,000","306,000","47,340",000,-,001,"2,600 -","No, Labio fijo -",,BARRANCO AYAGAURES,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,GAÑANIAS,,Explotación,"HDES. LAS PALMAS, DRAGONAL",J-BOISSIER,,01-06-1964,--,-741023,3162220,Riego                                             -  -,-  -,,"2,410","0,000","0,000","0,000",,Gravedad,"30,000","98,000","1100,000","1070,000","1072,000","20,000",000,-,001,"9,178 -","No, Labio fijo -",,ANTONA,VEGA DE SAN MATEO,LAS PALMAS
,GARCES,,Explotación,M. GONZALEZ,J. ALONSO,,31-12-1962,--,-860638,3190644,Riego                                             -  -,-  -,,"184,000","0,000","0,000","0,000",,Gravedad,"20,000","146,000","290,000","270,000","0,000","12,000",000,-,001,"15,000 -","No, Labio fijo -",,SAN JUAN,GUIA DE ISORA,TENERIFE
,"GRADO I, EL",,Explotación,ESTADO,C-MAZZUCHELLI,A,31-12-1969,--,0767474,4671419,Hidroeléctrico                                    -  - Riego,-  -,,"2375,000","1400,000","1400,000","3400,000",,Gravedad,"130,000","959,000","453,000","323,000","365,000","1030,000",001,"340,000 -",001,"3430,000 -",Compuertas. -,,CINCA,"GRADO, EL",EBRO
,GUADALEST,,Explotación,ESTADO,J-AURA CANDELA,A,01-07-1964,--,0744422,4285116,Abastecimiento                                    -  - Riego,-  -,,"60,000","8,000","600,000","400,000",,Gravedad,"77,170","285,150","382,650","305,480","308,000","236,720",001,"78,000 -",001,"520,000 -",Compuerta segm -,,GUADALEST,GUADALEST,JÚCAR
,GUADALMENA,,Explotación,ESTADO,J.M. ALMENDRAL,A,31-12-1969,--,0507644,4246234,Hidroeléctrico                                    -  - Riego,-  -,,"1323,000","228,000","0,000","1253,000",,Gravedad,"96,170","348,060","602,170","506,000","517,000","600,000",001,"55,000 -",001,"1749,000 -",Compuertas. -,,GUADALMENA,CHICLANA DE SEGURA,GUADALQUIVIR
,GUADANUÑO,CERRO MURIANO,Explotación,ESTADO,J. VIGUERAS GONZALEZ,C,01-01-1967,--,0342050,4209965,Abastecimiento                                    -  - Riego,-  -,,"28,000","10,000","750,000","125,000",,Gravedad,"25,500","150,740","513,000","487,500","492,000","18,600",001,"7,330 -",001,"125,000 -",Compuertas. -,,GUADANUÑO,CORDOBA Y VILLAVICIOSA,GUADALQUIVIR
,GUADARRANQUE,,Explotación,JUNTA DE ANDALUCÍA,F. ARCAS LUQUE,A,01-01-1965,--,0279075,4021000,Abastecimiento                                    -  - Riego,-  -,,"143,000","78,000","1100,000","1000,000",,Materiales sueltos núcleo arcilla,"71,000","235,000","78,000","7,000","11,000","1383,000",001,"60,000 -",001,"1000,000 -","No, Labio fijo -",,GUADARRANQUE,LOS BARRIOS Y CASTELLAR,C. MEDITERRANEA ANDALUZA
,HELECHAL,,Explotación,HERMANOS NAVARRO BALLESTERO,ENRIQUE RODRIGUEZ SALINAS PALERO,C,01-01-1965,--,0166075,4418651,Acuicultura                                       -  - Riego,-  -,,"11,360","0,000","187,000","63,525",,Gravedad,"10,600","137,000","251,700","241,100","243,100","0,000",001,"0,000 -",001,"40,000 -","No, Labio fijo -",,ARROYO HELECHAL,ALCANTARA,TAJO
,"HINCHONA, LA",,Explotación,AYUNTAMIENTO DE EL TIEMBLO,C.H. TAJO,,01-01-1946,--,0372108,4471728,Riego                                             -  -,-  -,,"13,900","0,000","0,000","0,000",,Arco Gravedad,"14,500","78,830","866,000","851,500","853,000","4,000",001,"0,000 -",002,"0,000 - 33,000","Compuerta vert - No, Labio fijo",,YEDRA,"TIEMBLO, EL",TAJO
,"HOYAS, LAS",,Explotación,COMUNIDAD DE REGANTES DEL NORTE,J-ALONSO,,01-01-1972,--,-751634,3166984,Riego                                             -  -,-  -,,"4,980","0,000","0,000","0,000",,Gravedad,"43,500","107,000","930,000","886,500","890,000","58,160",000,-,001,"24,940 -","No, Labio fijo -",,BARRANCO DE LAS HOYAS,ARTENARA,LAS PALMAS
,ISBERT,,Explotación,ESTADO,A. PEÑA,A,01-01-1945,--,0751659,4297224,Riego                                             -  -,-  -,,"57,000","9,410","550,000","100,000",,Arco Gravedad,"29,000","18,000","219,400","190,400","192,400","1,120",001,"5,000 -",001,"150,000 -","No, Labio fijo -",,GIRONA,ORBA,JÚCAR
,"JARILLA, LA (TAJO)",,Explotación,HERMANOS ALONSO,J-RAMON,,01-01-1964,--,0242520,4451720,Riego                                             -  -,-  -,,"9,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"10,000","155,000","0,000","0,000","0,000","21,890",000,-,001,"0,000 -","No, Labio fijo -",,CAVERA,JARILLA,TAJO
,JAUJA,MALPASILLO JAUJA,Explotación,SEVILLANA DE ELECTRICIDAD,F-BENJUMEA,A,31-12-1951,--,0352650,4129600,Hidroeléctrico                                    -  - Riego,-  -,,"5219,000","465,000","0,000","3000,000",,Contrafuertes,"36,000","222,900","250,000","214,000","220,160","61,340",000,-,001,"3000,000 -",Compuertas. -,,GENIL,LUCENA,GUADALQUIVIR
,JIMENEZ / ARUCAS,,Explotación,COMUNIDAD DE REGANTES DE TRASMONTAÑA,A. ALONSO URQUIJO,,01-01-1966,01-01-1966,-737478,3173192,Riego                                             -  -,-  -,,"3,940","0,000","0,000","0,000",,Gravedad,"46,000","101,400","375,000","329,000","335,000","42,000",000,-,001,"37,628 -","No, Labio fijo -",,BARRANCO JIMENEZ,ARUCAS,LAS PALMAS
,LEZCANO I,,Explotación,COMUNIDAD DE REGANTES DE TENOYA,LUIS JIMÉNEZ,,01-01-1960,--,-739230,3167919,Riego                                             -  -,-  -,,"23,630","0,000","0,000","0,000",,Gravedad,"24,000","79,900","290000,000","266,000","266,000","9,020",000,-,001,"19,696 -","No, Labio fijo -",,BARRANCO LEZCANO,TEROR,LAS PALMAS
,LEZCANO II,,Explotación,COMUNIDAD DE REGANTES DE TENOYA,L-GIMENEZ,,01-01-1963,--,-738804,3168366,Riego                                             -  -,-  -,,"21,790","0,000","0,000","0,000",,Gravedad,"35,000","74,000","315,000","280,000","280,000","7,940",000,-,001,"208,602 -","No, Labio fijo -",,BARRANCO LEZCANO,TEROR,LAS PALMAS
,LINARES DEL ARROYO,,Explotación,ESTADO,J-MARTIN ELVIRA,A,31-12-1951,--,0453996,4597544,Hidroeléctrico                                    -  - Riego,-  -,,"716,300","88,000","565,000","600,000",,Gravedad,"35,600","111,850","916,600","881,000","887,300","52,300",001,"0,000 -",001,"618,000 -",Compuertas. -,,RIAZA,MADERUELO,DUERO
,LORIGUILLA,,Explotación,ESTADO,J. SANCHO TELLO,A,01-01-1965,--,0679189,4392798,Regulación                                        -  - Riego,-  -,,"616,000","460,000","370,000","2000,000",,Gravedad,"78,670","198,000","322,500","243,830","265,000","187,500",002,"114,000 - 106,000",001,"2000,000 -",Compuertas. -,,TURIA,LORIGUILLA,JÚCAR
,LUGAREJOS,,Explotación,COMUNIDAD DE REGANTES DE NORTE,J-ALONSO URQUIJO,,01-01-1962,--,-751327,3168172,Riego                                             -  -,-  -,,"10,280","0,000","0,000","0,000",,Gravedad,"42,000","142,000","860,000","818,000","820,000","60,000",000,-,001,"131,420 -","No, Labio fijo -",,BCO. CORUÑA,"ARTENARA, AGAETE Y GÁLDAR",LAS PALMAS
,"MALA, LA",,Explotación,AUTONOMIA CANARIAS,J-ALONSO VEGA,,01-01-1975,--,-524384,3270301,Riego                                             -  -,-  -,,"4,040","0,000","0,000","10,000",,Gravedad,"37,000","117,900","165,000","128,000","135,000","20,000",000,-,001,"10,000 -","No, Labio fijo -",,PALOMO,HARIA,LAS PALMAS
,MARMOLEJO,,Explotación,"ENDESA GENERACIÓN, S.A.- U.P.H. SUR",L-MENDOZA,B,31-12-1962,--,0396000,4213200,Hidroeléctrico                                    -  - Riego,-  -,,"20137,100","0,000","0,000","3450,000",,Gravedad,"19,880","230,000","193,880","174,000","175,350","27,800",000,-,001,"3450,000 -",Compuerta segm -,,GUADALQUIVIR,MARMOLEJO,GUADALQUIVIR
,MEDIANO,,Explotación,ESTADO,"PINTO, CASAU Y MACHIN",A,31-12-1959,01-01-1974,0765086,4689680,Hidroeléctrico                                    -  - Riego,-  -,,"2078,000","1350,000","925,000","3500,000",,Gravedad,"92,000","500,000","529,500","437,500","455,500","43,000",002,"120,000 - 50,000",001,"3232,000 -",Compuertas. -,,CINCA,"FUEVA, LA",EBRO
,MEQUINENZA,,Explotación,ENHER,M. SANCHEZ DEL CORRAL,A,31-12-1964,--,0774241,4584997,Hidroeléctrico                                    -  - Riego,-  -,,"55000,000","9190,000","561,000","11000,000",,Gravedad,"79,000","461,000","124,000","45,000","60,000","1100,000",001,"160,000 -",001,"11000,000 -",Compuertas. -,,EBRO,MEQUINENZA,EBRO
,"MILAGRO, EL",,Explotación,ESTADO,F-OLIVIER GONZALEZ,A,01-01-1973,--,0326107,4513093,Abastecimiento                                    -  - Riego,-  -,,"96,000","25,000","450,000","390,000",,Gravedad,"31,300","199,500","1038,550","1007,250","1010,700","32,000",001,"0,000 -",001,"360,000 -","No, Labio fijo -",,ALMAR,MIRUEÑA DE LOS INFANZONES,DUERO
,MIRAFLORES DE LA SIERRA,,Explotación,AYUNTAMIENTO DE MIRAFLORES DE LA SIERRA,INTECSA,A,31-12-1975,--,0432884,4519220,Abastecimiento                                    -  - Riego,-  -,,"8,700","6,300","0,000","155,000",,Materiales sueltos núcleo arcilla,"36,000","220,000","1294,500","1258,500","1263,500","243,000",000,-,001,"155,000 -","No, Labio fijo -",,MIRAFLORES,MIRAFLORES DE LA SIERRA,TAJO
,"MOLINOS, LOS",,Explotación,PATRONATO LOS MOLINOS,"A. CAÑAS, M. HERNANDEZ",,01-01-1965,--,-567058,3201922,Riego                                             -  -,-  -,,"3,000","0,000","0,000","0,000",,Gravedad,"25,000","136,000","0,000","0,000","0,000","21,000",000,-,000,-,-,,MOLINOS,PUERTO ROSARIO,LAS PALMAS
,MONTE DE LA TORRE (DD-1),DEPOSITO DD-1,Explotación,JUNTA DE ANDALUCÍA,,C,31-12-1972,--,0275972,4004387,Regulación                                        -  - Riego,-  -,,"0,000","0,000","0,000","156,000",,Materiales sueltos núcleo arcilla,"23,000","63,000","30,400","7,400","13,000","0,000",001,"3,390 -",001,"20,000 -","No, Labio fijo -",,PRIOR,"BARRIOS, LOS",C. MEDITERRANEA ANDALUZA
,MONTIJO,,Explotación,ESTADO,R. CELESTINO Y J.J. TORAN,A,31-12-1954,01-01-1982,0202510,4314117,Abastecimiento                                    -  - Riego,-  -,,"42000,000","750,000","450,000","6800,000",,Gravedad,"22,000","927,000","208,120","186,120","193,120","24,240",001,"35,000 -",001,"7100,000 -","No, Labio fijo -",,GUADIANA,MERIDA,GUADIANA
,MONTORO,MONTORO II,Explotación,REPSOL PETROLEO S.A.,A. ARAGONES FOEZ,C,01-01-1966,--,0401466,4266409,Riego                                             -  -,-  -,,"209,300","0,000","0,000","0,000",,Gravedad,"24,250","213,000","568,250","544,000","546,000","0,000",000,-,001,"500,000 -","No, Labio fijo -",,MONTORO,SOLANA DEL PINO,GUADALQUIVIR
,"MOSQUIL, EL",,Explotación,RAMONA ROMERO CAMARA,R. DIAZ FRANCO,,01-01-1971,--,0228717,4255260,Riego                                             -  -,-  -,,"7,900","0,000","550,000","32,000",,Gravedad,"10,000","172,400","97,000","87,000","90,000","4,000",000,-,001,"36,000 -","No, Labio fijo -",,LABRADOS,USAGRE,GUADIANA
,MULATO,,Explotación,COMUNIDAD DE REGANTES DE SAN ANTONIO,M. CAMON-(RTO)A.MENVIELLE,,01-01-1959,01-01-1981,-755161,3154489,Riego                                             -  -,-  -,,"6,140","1,000","0,000","129,000",,Gravedad,"44,000","146,000","745,000","701,000","705,000","18,900",001,"54,000 -",001,"35,000 -","No, Labio fijo -",,BARRANCO VINAGRERAS,MOGAN,LAS PALMAS
,NAVALAGAMELLA,,Explotación,A. RODRIGUEZ DOCAMPO,J-M- FDEZ. GONZALEZ,,31-12-1972,--,0405106,4472030,Riego                                             -  -,-  -,,"4,410","0,000","450,000","11,000",,Gravedad,"13,000","106,000","538,800","525,800","530,000","4,000",000,-,001,"10,000 -","No, Labio fijo -",,CURA,NAVALAGAMELLA,TAJO
,NIÑO JESUS,ANIÑON,Explotación,COMUNIDAD DE REGANTES DE ANIÑON,J. HERRERA GARCÍA,A,09-05-1955,--,0608478,4595385,Riego                                             -  -,-  -,,"8,800","0,000","396,000","33,500",,Gravedad,"22,500","73,000","962,000","939,500","940,000","22,500",001,"2,000 -",001,"37,000 -","No, Labio fijo -",,ARROYO DEL FRESNO O JESUS,ANIÑON,EBRO
,OJOS (AZUD),MAYES,Explotación,ESTADO,A-BOTIA,A,31-12-1975,--,0644545,4224880,Riego                                             -  - Hidroeléctrico,-  -,,"985,600","450,000","300,000","750,000",,Gravedad,"17,670","53,000","140,670","123,000","128,500","19,510",001,"56,210 -",001,"766,680 -",Compuertas. -,,SEGURA,BLANCA,SEGURA
,ONDA,,Explotación,COMUNIDAD DE REGANTES DE ONDA,RAFAEL AZCOITI,A,01-01-1954,--,0728310,4424455,Riego                                             -  -,-  -,,"20,000","2,870","478,000","46,000",,Gravedad,"37,000","118,550","306,500","269,500","272,000","27,480",001,"30,000 -",001,"0,000 -",Compuerta segm -,,SECO / VEO,ALCUDIA DE VEO,JÚCAR
,PALMACES,,Explotación,ESTADO,F-CASTELLANO,A,01-01-1954,--,0505170,4544655,Riego                                             -  -,-  -,,"275,400","44,600","580,000","500,000",,Gravedad,"43,000","115,500","886,000","843,000","854,500","54,660",001,"0,000 -",001,"300,000 -",Compuertas. -,,CAÑAMARES,PALMACES DE JADRAQUE,TAJO
,"PARRALILLO, EL",,Explotación,COMUNIDAD DE REGANTES DE ALDEA S. NICOLAS,S. ALONSO VEGA,,01-01-1971,--,-755170,3162455,Riego                                             -  -,-  -,,"66,300","13,000","473,000","613,000",,Gravedad,"68,090","150,700","347,000","278,910","289,910","108,770",000,-,001,"524,590 -","No, Labio fijo -",,BARRANCO ALDEA,TEJEDA Y ARTENARA,LAS PALMAS
,PASADA DEL CAMELLO,,Explotación,EULZICO AHIERS,J-AMIGO DE LARA,,31-12-1954,--,-860483,3195027,Riego                                             -  -,-  -,,"7,800","0,000","0,000","0,000",,Gravedad,"24,000","46,000","235,000","211,000","0,000","8,500",000,-,001,"70,000 -","No, Labio fijo -",,CHABUGO,GUIA DE ISORA,TENERIFE
,"PASTIZALES, LOS",,Explotación,J.L. ALVAREZ CEPEDA,J. SUARDIAZ ALVAREZ - A. ALANDO,,31-12-1964,--,0352216,4363403,Abastecimiento                                    -  - Riego,-  -,,"8,000","1,000","500,000","42,000",,Materiales sueltos homogenea,"13,500","230,000","569,000","555,500","558,500","0,000",000,-,001,"83,000 -","No, Labio fijo -",,VALDELARQUILLO (VALDESEQUILLOS),HELECHOSA DE LOS MONTES,GUADIANA
,PEDRO MARIN,,Explotación,SEVILLANA DE ELECTRICIDAD,A DEL AGUILA,,31-12-1954,--,0463739,4196379,Hidroeléctrico                                    -  - Riego,-  -,,"9050,500","0,000","0,000","2400,000",,Gravedad,"32,000","190,000","322,500","290,500","297,000","40,000",000,-,001,"2400,000 -",Compuertas. -,,GUADALQUIVIR,JODAR,GUADALQUIVIR
,PEÑARROYA,,Explotación,ESTADO,G.HERAS,A,01-01-1959,--,0499519,4323754,Abastecimiento                                    -  - Riego,-  -,,"882,000","106,000","424,000","560,000",,Gravedad,"50,000","250,000","737,500","687,500","702,500","150,000",001,"0,000 -",001,"540,000 -","No, Labio fijo -",,GUADIANA,ARGAMASILLA DE ALBA,GUADIANA
,"PEÑASCALES, LOS",,Explotación,F. GONZALEZ OLIVARES,P.JIMENEZ NUÑEZ,,31-12-1962,--,0424055,4492013,Abastecimiento                                    -  - Riego,-  -,,"3300,000","0,000","0,000","0,000",,Gravedad,"18,300","179,000","740,300","722,000","724,300","0,000",000,-,001,"82,000 -","No, Labio fijo -",,ARROYO TROFA,TORRELODONES,TAJO
,"PEÑITAS, LAS",,Explotación,PATRONATO LAS PEÑITAS,L.NIEVA,,01-01-1963,--,-591258,3192419,Riego                                             -  -,-  -,,"5,000","0,000","0,000","0,000",,Gravedad,"22,000","122,000","0,000","0,000","0,000","19,000",000,-,001,"0,000 -","No, Labio fijo -",,PALMAS,PAJARA,LAS PALMAS
,"PEREZ, LOS",,Explotación,COMUNIDAD DE REGANTES DE NORTE,J-ALONSO URQUIJO,,01-01-1955,--,-750857,3168391,Riego                                             -  -,-  -,,"19,230","0,000","0,000","0,000",,Gravedad,"45,000","113,000","820,000","775,000","775,000","51,000",000,-,001,"47,587 -","No, Labio fijo -",,BARRANCO HONDO,ARTENARA,LAS PALMAS
,PIEDRA AGUDA,,Explotación,JUNTA DE EXTREMADURA,G.VALERO,,01-01-1956,--,0149904,4289973,Abastecimiento                                    -  - Riego,-  -,,"217,000","0,000","0,000","360,000",,Gravedad,"30,450","213,000","226,450","196,000","200,300","35,700",000,-,001,"850,000 -","No, Labio fijo -",,OLIVENZA,OLIVENZA,GUADIANA
,PIEDRAS,,Explotación,JUNTA DE ANDALUCÍA,C.TORRES Y F. DAMBORENEA,A,31-12-1968,--,0122023,4144432,Abastecimiento                                    -  - Riego,-  -,,"200,000","13,000","535,000","750,000",,Materiales sueltos P hormigón,"40,000","620,000","74,000","34,000","36,000","465,000",001,"0,000 -",001,"750,000 -","No, Labio fijo -",,PIEDRAS,"CARTAYA, LEPE",C. ATLÁNTICA ANDALUZA
,PILETAS,,Explotación,H.C. RODRIGUEZ,S.BENITEZ,,01-01-1952,--,-731834,3171343,Riego                                             -  -,-  -,,"0,480","0,000","0,000","0,000",,Gravedad,"24,000","148,400","230,000","206,000","206,000","27,000",000,-,001,"72,411 -","No, Labio fijo -",,BARRANCO PILETAS,SAN LORENZO,LAS PALMAS
,"PINTADO, EL",,Explotación,ESTADO,V. GLEZ. GIMENEZ,A,31-12-1948,--,0240470,4208350,Hidroeléctrico                                    -  - Riego,-  -,,"1100,000","0,000","0,000","1762,000",,Gravedad,"86,500","356,000","342,500","256,000","261,500","353,840",001,"130,000 -",001,"1400,000 -",Compuertas. -,,VIAR,CAZALLA DE LA SIERRA,GUADALQUIVIR
,"PINTADO, EL (DERIVACION)",,Explotación,ESTADO,E.GRAJERA DE LEON,C,31-12-1940,--,0243255,4190470,Riego                                             -  -,-  -,,"1100,000","0,000","0,000","1500,000",,Gravedad,"9,500","164,000","81,550","72,050","74,050","6,000",001,"10,000 -",001,"1500,000 -","No, Labio fijo -",,VIAR,ALMADEN DE LA PLATA,GUADALQUIVIR
,"PINTOR, EL",,Explotación,COMUNIDAD DE REGANTES DE EL PINTOR,S. BENITEZ,,01-01-1956,--,-732620,3169103,Riego                                             -  -,-  -,,"2,340","0,000","0,000","0,000",,Gravedad,"30,000","120,000","305,000","275,000","275,000","12,000",000,-,001,"6,908 -","No, Labio fijo -",,BARRANCO TAMARACEITE,"PALMAS DE GRAN CANARIA, LAS",LAS PALMAS
,PUENTE DE LA CERRADA,,Explotación,ESTADO,J.VISEDO,B,31-12-1963,--,0483505,4201425,Hidroeléctrico                                    -  - Riego,-  -,,"1095,000","0,000","0,000","1151,000",,Gravedad,"22,050","146,500","372,500","350,450","359,000","19,300",001,"70,000 -",001,"1370,000 -",Compuertas. -,,GUADALQUIVIR,"JODAR, PEAL BECERRO",GUADALQUIVIR
,QUENTAR,,Explotación,ESTADO,C. FDEZ. CASADO,A,01-01-1975,--,0461175,4117647,Abastecimiento                                    -  - Riego,-  -,,"101,500","0,000","0,000","600,000",,Bóveda,"133,000","200,000","1041,000","908,000","935,000","227,000",001,"37,500 -",001,"600,000 -",Compuertas. -,,AGUAS BLANCAS,QUENTAR,GUADALQUIVIR
,"REGAJO, EL",,Explotación,ESTADO,E. FELTRER,A,31-10-1959,--,0711744,4418559,Riego                                             -  -,-  -,,"450,000","82,000","371,000","438,000",,Gravedad,"27,530","383,000","406,530","379,000","382,200","43,200",001,"42,000 -",001,"315,000 -",Compuertas. -,,PALANCIA,JERICA,JÚCAR
,REQUEJADA,,Explotación,ESTADO,J. FEDZ. MORENO,A,31-12-1940,--,0375507,4751818,Abastecimiento                                    -  - Riego,-  -,,"247,000","193,000","0,000","400,000",,Gravedad,"57,000","200,000","1083,000","1026,000","1030,500","97,000",000,-,001,"450,000 -",Compuertas. -,,PISUERGA,CERVERA DE PISUERGA,DUERO
,RETORTILLO,,Explotación,ESTADO,J.A. VIGUERAS Y M.A. RUIZ AZUA,A,01-01-1970,--,0293165,4191105,Abastecimiento                                    -  - Riego,-  -,,"311,000","0,000","0,000","600,000",,Gravedad,"53,000","156,000","189,000","136,000","152,000","87,160",001,"29,220 -",001,"618,000 -",Compuertas. -,,RETORTILLO,"HORNACHUELOS, PUEBLA DE INFANTES",GUADALQUIVIR
,"REY, DEL",,Explotación,ESTADO,J.L. MIRANDA,C,31-12-1971,--,0453964,4461241,Riego                                             -  -,-  -,,"8800,000","0,000","0,000","2880,000",,Gravedad,"11,000","110,470","526,640","515,640","520,260","60,700",002,"0,000 - 0,000",001,"2000,000 -",Compuertas. -,,JARAMA,RIVAS-VACIAMADRID,TAJO
,ROSARITO,,Explotación,ESTADO,F. PEREZ DE LA TORRE,A,31-12-1958,--,0302082,4442874,Riego                                             -  -,-  -,,"1754,000","901,500","1043,000","1587,000",,Gravedad,"37,500","123,350","308,800","271,300","283,700","63,000",001,"150,000 -",001,"1560,000 -",Compuertas. -,,TIETAR,"OROPESA, CANDELEDA",TAJO
,ROSARITO (DIQUE DEL COLLADO),,Explotación,ESTADO,F-PEREZ DE LA TORRE,A,31-12-1958,--,0302065,4442890,Hidroeléctrico                                    -  - Riego,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"4,070","2650,000","308,800","304,730","305,530","60,960",000,-,000,-,-,,ARROYO DEL MOJÓN,"OROPESA, CANDELEDA",TAJO
,RUMBLAR,,Explotación,ESTADO,F-MELLIZO,A,31-12-1941,--,0429670,4224281,Abastecimiento                                    -  - Riego,-  -,,"550,000","0,000","0,000","576,000",,Gravedad,"68,000","220,000","344,000","276,000","284,000","162,340",001,"55,000 -",001,"485,000 -","No, Labio fijo -",,RUMBLAR,BAÑOS DE LA ENCINA,GUADALQUIVIR
,SALOR,,Explotación,"JUNTA DE EXTREMADURA, C.A.C.",G-VALERO,A,01-01-1964,--,0214873,4362570,Riego                                             -  -,-  -,,"160,000","0,000","0,000","300,000",,Gravedad,"21,400","612,500","398,100","376,700","382,700","30,650",001,"0,000 -",001,"300,000 -","No, Labio fijo -",,SALOR,CACERES,TAJO
,SALVAINDIA,,Explotación,J. DEL RIO AMOR,,,01-01-1940,--,-730322,3159750,Riego                                             -  -,-  -,,"0,640","0,000","0,000","0,000",,Gravedad,"16,000","86,000","360,000","344,000","344,000","6,000",000,-,000,-,-,,BARRANCO HOYA DE LOS MANRIQUES,TEIDE,LAS PALMAS
,SAN JOSE,,Explotación,ESTADO,J-CAMARA RICA,A,31-12-1941,--,0310275,4586175,Abastecimiento                                    -  - Riego,-  -,,"38900,000","3959,000","0,000","2500,000",,Gravedad,"17,300","156,000","660,000","642,700","644,750","48,020",000,-,002,"2500,000 - 0,000",Compuertas. - Compuertas.,,DUERO,CASTRONUÑO,DUERO
,SAN PONS,,Explotación,AUTONOMIA GENERALITAT CATALUÑA,J-M-COMTE,A,31-12-1957,--,0882050,4656262,Riego                                             -  - Abastecimiento,-  -,,"117,000","435,000","700,000","865,000",,Gravedad,"60,000","311,000","531,500","472,000","485,000","195,000",002,"70,000 - 12,000",001,"733,780 -",Compuertas. -,,CARDONER,CLARIANA DE CARDENER,C.I. CATALUÑA
,SANTA BRIGIDA,,Explotación,CDAD. SATAUTEJO Y LA HIGUERA,,,01-01-1954,--,-735048,3163518,Riego                                             -  -,-  -,,"8,320","0,000","0,000","0,000",,Gravedad,"20,000","95,000","560,000","540,000","540,000","10,000",000,-,001,"50,000 -","No, Labio fijo -",,BARRANCO GUINIGUADA,SANTA BRIGIDA,LAS PALMAS
,SANTA TERESA,,Explotación,ESTADO,L. DIAZ CANEJA PANDO,A,31-12-1960,--,0280229,4505515,Hidroeléctrico                                    -  - Riego,-  -,,"1853,000","680,000","639,400","2050,000",,Gravedad,"58,500","517,000","887,200","828,700","832,700","385,570",002,"0,000 - 0,000",001,"2050,000 -",Compuertas. -,,TORMES,MONTEJO,DUERO
